REGIAO:;NE
UF:;PI
ESTACAO:;PARNAIBA
CODIGO (WMO):;A308
LATITUDE:;-3,08666666
LONGITUDE:;-41,78305554
ALTITUDE:;52,11
DATA DE FUNDACAO:;06/02/03
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/06;0000 UTC;0;;;;0;;;;;;;;;;68;5,2;2,6;
2024/01/06;0100 UTC;0;;;;0;;;;;;;;;;72;5,6;2,2;
2024/01/06;0200 UTC;0;;;;0;;;;;;;;;;79;4;2,2;
2024/01/06;0300 UTC;0;;;;0;;;;;;;;;;94;5,1;2,9;
2024/01/06;0400 UTC;0;;;;0;;;;;;;;;;89;5,1;2,2;
2024/01/06;0500 UTC;0;;;;0;;;;;;;;;;85;4,1;1,6;
2024/01/06;0600 UTC;0;;;;0;;;;;;;;;;95;3,2;1,6;
2024/01/06;0700 UTC;0;;;;0;;;;;;;;;;102;3,1;1,5;
2024/01/06;0800 UTC;0;;;;0;;;;;;;;;;83;3,4;1,4;
2024/01/06;0900 UTC;0;;;;20,4;;;;;;;;;;91;4,8;2,7;
2024/01/06;1000 UTC;0;;;;284;;;;;;;;;;93;5,5;3,3;
2024/01/06;1100 UTC;0;;;;1216,9;;;;;;;;;;98;8,8;4,3;
2024/01/06;1200 UTC;0;;;;2093,1;;;;;;;;;;97;8,8;4,2;
2024/01/06;1300 UTC;0;;;;2660,3;;;;;;;;;;125;8,2;2,9;
2024/01/06;1400 UTC;0;;;;2185,3;;;;;;;;;;150;6,5;2,2;
2024/01/06;1500 UTC;0;;;;2838,4;;;;;;;;;;220;6,1;1,5;
2024/01/06;1600 UTC;0;;;;2142,4;;;;;;;;;;36;8,6;4,8;
2024/01/06;1700 UTC;0;;;;2622,5;;;;;;;;;;49;8,8;4,6;
2024/01/06;1800 UTC;0;;;;2354,1;;;;;;;;;;55;9,9;4,7;
2024/01/06;1900 UTC;0;;;;2023,3;;;;;;;;;;69;9,9;5,3;
2024/01/06;2000 UTC;0;;;;1003,4;;;;;;;;;;64;10,5;4,7;
2024/01/06;2100 UTC;0;;;;100;;;;;;;;;;63;10;3,6;
2024/01/06;2200 UTC;0;;;;,2;;;;;;;;;;64;8,2;3,2;
2024/01/06;2300 UTC;0;;;;0;;;;;;;;;;61;8,1;2,7;
2024/01/07;0000 UTC;0;;;;0;;;;;;;;;;62;5,7;2,6;
2024/01/07;0100 UTC;0;;;;0;;;;;;;;;;70;5,6;2,5;
2024/01/07;0200 UTC;0;;;;0;;;;;;;;;;90;5,4;1,5;
2024/01/07;0300 UTC;0;;;;0;;;;;;;;;;64;4,3;1,5;
2024/01/07;0400 UTC;0;;;;0;;;;;;;;;;78;3,6;1,4;
2024/01/07;0500 UTC;0;;;;0;;;;;;;;;;76;3,2;1,1;
2024/01/07;0600 UTC;0;;;;0;;;;;;;;;;77;2,9;1,5;
2024/01/07;0700 UTC;0;;;;0;;;;;;;;;;94;4,9;2,8;
2024/01/07;0800 UTC;0;;;;0;;;;;;;;;;79;5,4;1,8;
2024/01/07;0900 UTC;0;;;;24,4;;;;;;;;;;72;3,9;2;
2024/01/07;1000 UTC;0;;;;481;;;;;;;;;;92;7,2;3,7;
2024/01/07;1100 UTC;0;;;;1254;;;;;;;;;;97;10;5,3;
2024/01/07;1200 UTC;0;;;;2010,5;;;;;;;;;;104;10,1;5,5;
2024/01/07;1300 UTC;0;;;;2563,1;;;;;;;;;;88;10,1;4,9;
2024/01/07;1400 UTC;0;;;;1531,9;;;;;;;;;;67;9,6;4;
2024/01/07;1500 UTC;0;;;;1745,5;;;;;;;;;;53;9;4,4;
2024/01/07;1600 UTC;0;;;;2086,2;;;;;;;;;;34;9,9;4,4;
2024/01/07;1700 UTC;0;;;;1596,8;;;;;;;;;;45;10,5;4,7;
2024/01/07;1800 UTC;,8;;;;1436,8;;;;;;;;;;45;10,4;5,1;
2024/01/07;1900 UTC;0;;;;1134,7;;;;;;;;;;44;10,4;5,2;
2024/01/07;2000 UTC;0;;;;689,7;;;;;;;;;;45;9,6;5,1;
2024/01/07;2100 UTC;0;;;;175,9;;;;;;;;;;51;9,6;4,2;
2024/01/07;2200 UTC;0;;;;0;;;;;;;;;;49;8,9;2,4;
2024/01/07;2300 UTC;0;;;;0;;;;;;;;;;48;5,9;3,1;
2024/01/08;0000 UTC;0;;;;0;;;;;;;;;;54;7,9;2,8;
2024/01/08;0100 UTC;0;;;;0;;;;;;;;;;60;6,3;3,3;
2024/01/08;0200 UTC;0;;;;0;;;;;;;;;;64;6,3;2,4;
2024/01/08;0300 UTC;0;;;;0;;;;;;;;;;55;5,6;2,1;
2024/01/08;0400 UTC;0;;;;0;;;;;;;;;;75;4,7;2;
2024/01/08;0500 UTC;0;;;;0;;;;;;;;;;60;3,7;1,1;
2024/01/08;0600 UTC;0;;;;0;;;;;;;;;;97;2,2;1;
2024/01/08;0700 UTC;0;;;;0;;;;;;;;;;74;4,4;2,3;
2024/01/08;0800 UTC;0;;;;0;;;;;;;;;;93;4,6;2,4;
2024/01/08;0900 UTC;0;;;;14,6;;;;;;;;;;92;6,7;2,7;
2024/01/08;1000 UTC;0;;;;505,1;;;;;;;;;;102;6,4;3;
2024/01/08;1100 UTC;0;;;;784,2;;;;;;;;;;88;7,7;3,9;
2024/01/08;1200 UTC;0;;;;1236,2;;;;;;;;;;100;9,7;5,1;
2024/01/08;1300 UTC;0;;;;1925,9;;;;;;;;;;93;10;4,7;
2024/01/08;1400 UTC;0;;;;1941;;;;;;;;;;43;9,8;4,5;
2024/01/08;1500 UTC;0;;;;2178;;;;;;;;;;45;9,8;5,4;
2024/01/08;1600 UTC;0;;;;2380,2;;;;;;;;;;39;10;4,7;
2024/01/08;1700 UTC;0;;;;2801,2;;;;;;;;;;39;9,6;5;
2024/01/08;1800 UTC;0;;;;2485,8;;;;;;;;;;31;9,9;5,5;
2024/01/08;1900 UTC;0;;;;1738,7;;;;;;;;;;50;11,8;5;
2024/01/08;2000 UTC;0;;;;1054;;;;;;;;;;59;8,6;4,3;
2024/01/08;2100 UTC;0;;;;214;;;;;;;;;;52;7,8;3;
2024/01/08;2200 UTC;0;;;;,5;;;;;;;;;;54;6,3;2;
2024/01/08;2300 UTC;0;;;;0;;;;;;;;;;63;4,1;1,9;
2024/01/09;0000 UTC;0;;;;0;;;;;;;;;;77;5;2,9;
2024/01/09;0100 UTC;0;;;;0;;;;;;;;;;71;6,3;3,6;
2024/01/09;0200 UTC;0;;;;0;;;;;;;;;;68;6;3;
2024/01/09;0300 UTC;0;;;;0;;;;;;;;;;95;5,5;2,5;
2024/01/09;0400 UTC;0;;;;0;;;;;;;;;;99;6;2,9;
2024/01/09;0500 UTC;0;;;;0;;;;;;;;;;93;7,8;3;
2024/01/09;0600 UTC;0;;;;0;;;;;;;;;;88;5,5;2,7;
2024/01/09;0700 UTC;0;;;;0;;;;;;;;;;90;6,2;3,3;
2024/01/09;0800 UTC;0;;;;0;;;;;;;;;;91;6,4;3,3;
2024/01/09;0900 UTC;0;;;;26,7;;;;;;;;;;99;6,8;3,1;
2024/01/09;1000 UTC;0;;;;288,1;;;;;;;;;;92;6,6;3,6;
2024/01/09;1100 UTC;0;;;;1170,8;;;;;;;;;;99;10,5;5,4;
2024/01/09;1200 UTC;0;;;;2190,7;;;;;;;;;;95;10,5;4,9;
2024/01/09;1300 UTC;0;;;;2895;;;;;;;;;;85;10;4,5;
2024/01/09;1400 UTC;0;;;;3179;;;;;;;;;;92;10,3;4,2;
2024/01/09;1500 UTC;0;;;;2890,5;;;;;;;;;;36;10,4;4,7;
2024/01/09;1600 UTC;0;;;;3864,8;;;;;;;;;;37;9,5;5,4;
2024/01/09;1700 UTC;0;;;;2979,6;;;;;;;;;;47;10,9;5,4;
2024/01/09;1800 UTC;0;;;;2192,5;;;;;;;;;;46;10,9;5,1;
2024/01/09;1900 UTC;0;;;;1154,1;;;;;;;;;;38;10,3;5,2;
2024/01/09;2000 UTC;0;;;;883,3;;;;;;;;;;49;9,1;4,1;
2024/01/09;2100 UTC;0;;;;229;;;;;;;;;;51;8,8;3,8;
2024/01/09;2200 UTC;0;;;;,9;;;;;;;;;;64;7,1;3;
2024/01/09;2300 UTC;0;;;;0;;;;;;;;;;60;7,3;3,4;
2024/01/10;0000 UTC;0;;;;0;;;;;;;;;;71;8,1;2,9;
2024/01/10;0100 UTC;0;;;;0;;;;;;;;;;74;6,5;3;
2024/01/10;0200 UTC;0;;;;0;;;;;;;;;;75;6,4;2,9;
2024/01/10;0300 UTC;0;;;;0;;;;;;;;;;81;5,3;1,9;
2024/01/10;0400 UTC;0;;;;0;;;;;;;;;;83;5,3;1,8;
2024/01/10;0500 UTC;0;;;;0;;;;;;;;;;87;5,4;2,6;
2024/01/10;0600 UTC;0;;;;0;;;;;;;;;;92;5;2,7;
2024/01/10;0700 UTC;0;;;;0;;;;;;;;;;87;6,1;2,9;
2024/01/10;0800 UTC;0;;;;0;;;;;;;;;;90;7,8;3,8;
2024/01/10;0900 UTC;0;;;;9,5;;;;;;;;;;91;7,8;3,2;
2024/01/10;1000 UTC;0;;;;413,5;;;;;;;;;;92;6,5;3,5;
2024/01/10;1100 UTC;0;;;;1224,5;;;;;;;;;;94;10,4;4,6;
2024/01/10;1200 UTC;0;;;;2207,5;;;;;;;;;;79;10,3;4,3;
2024/01/10;1300 UTC;0;;;;2631,5;;;;;;;;;;103;10,2;5,1;
2024/01/10;1400 UTC;0;;;;2708,5;;;;;;;;;;49;9,1;4,4;
2024/01/10;1500 UTC;0;;;;2456,6;;;;;;;;;;64;8,1;3,9;
2024/01/10;1600 UTC;0;;;;2624,7;;;;;;;;;;35;9,3;4,2;
2024/01/10;1700 UTC;0;;;;2578,4;;;;;;;;;;51;10;5,1;
2024/01/10;1800 UTC;0;;;;2192,3;;;;;;;;;;52;9,1;5,2;
2024/01/10;1900 UTC;0;;;;1719,6;;;;;;;;;;40;11,4;4,5;
2024/01/10;2000 UTC;0;;;;1048;;;;;;;;;;47;9,9;5;
2024/01/10;2100 UTC;0;;;;176,7;;;;;;;;;;52;9,1;3,2;
2024/01/10;2200 UTC;0;;;;,4;;;;;;;;;;66;6,7;2,7;
2024/01/10;2300 UTC;0;;;;0;;;;;;;;;;67;5,5;2,5;
2024/01/11;0000 UTC;0;;;;0;;;;;;;;;;68;5,5;2,8;
2024/01/11;0100 UTC;0;;;;0;;;;;;;;;;74;6;2,7;
2024/01/11;0200 UTC;0;;;;0;;;;;;;;;;82;5,2;1,9;
2024/01/11;0300 UTC;0;;;;0;;;;;;;;;;99;3,8;1,9;
2024/01/11;0400 UTC;0;;;;0;;;;;;;;;;92;4,7;2,1;
2024/01/11;0500 UTC;0;;;;0;;;;;;;;;;68;5,3;1,6;
2024/01/11;0600 UTC;0;;;;0;;;;;;;;;;103;4,4;1,9;
2024/01/11;0700 UTC;0;;;;0;;;;;;;;;;88;4,4;2,5;
2024/01/11;0800 UTC;0;;;;0;;;;;;;;;;96;4,4;1,3;
2024/01/11;0900 UTC;0;;;;12;;;;;;;;;;103;3,4;1,6;
2024/01/11;1000 UTC;0;;;;428,2;;;;;;;;;;97;6,2;3,3;
2024/01/11;1100 UTC;0;;;;1361,3;;;;;;;;;;89;9,8;4,6;
2024/01/11;1200 UTC;0;;;;1928,6;;;;;;;;;;80;10,2;4,7;
2024/01/11;1300 UTC;0;;;;2481,2;;;;;;;;;;93;8,6;4,1;
2024/01/11;1400 UTC;0;;;;2637,4;;;;;;;;;;73;7,9;3,7;
2024/01/11;1500 UTC;0;;;;2090,5;;;;;;;;;;62;7;2,7;
2024/01/11;1600 UTC;0;;;;2023;;;;;;;;;;36;7,8;4,2;
2024/01/11;1700 UTC;0;;;;1499,9;;;;;;;;;;30;7,7;4,2;
2024/01/11;1800 UTC;0;;;;1248,1;;;;;;;;;;47;8,1;4,4;
2024/01/11;1900 UTC;0;;;;1122,3;;;;;;;;;;44;8,1;4;
2024/01/11;2000 UTC;0;;;;601,3;;;;;;;;;;52;8,4;3,7;
2024/01/11;2100 UTC;0;;;;123,3;;;;;;;;;;68;7,9;2,8;
2024/01/11;2200 UTC;0;;;;,3;;;;;;;;;;56;5,9;1,8;
2024/01/11;2300 UTC;0;;;;0;;;;;;;;;;65;4,3;2,2;
2024/01/12;0000 UTC;0;;;;0;;;;;;;;;;71;4,3;1,9;
2024/01/12;0100 UTC;0;;;;0;;;;;;;;;;50;4,2;1,8;
2024/01/12;0200 UTC;0;;;;0;;;;;;;;;;46;4,1;,7;
2024/01/12;0300 UTC;0;;;;0;;;;;;;;;;27;1,9;,8;
2024/01/12;0400 UTC;6;;;;,2;;;;;;;;;;43;8,6;2,9;
