REGIAO:;NE
UF:;BA
ESTACAO:;FORMOSA DO RIO PRETO
CODIGO (WMO):;A452
LATITUDE:;-11,05222222
LONGITUDE:;-45,20083333
ALTITUDE:;488
DATA DE FUNDACAO:;02/06/16
Data;Hora UTC;PRECIPITAÇÃO TOTAL, HORÁRIO (mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB);PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB);PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB);RADIACAO GLOBAL (Kj/m²);TEMPERATURA DO AR - BULBO SECO, HORARIA (°C);TEMPERATURA DO PONTO DE ORVALHO (°C);TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C);TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C);UMIDADE REL. MAX. NA HORA ANT. (AUT) (%);UMIDADE REL. MIN. NA HORA ANT. (AUT) (%);UMIDADE RELATIVA DO AR, HORARIA (%);VENTO, DIREÇÃO HORARIA (gr) (° (gr));VENTO, RAJADA MAXIMA (m/s);VENTO, VELOCIDADE HORARIA (m/s);
2024/01/03;2300 UTC;0;957;957,1;956,1;;24,7;24,7;25;24,7;25;24,7;100;100;100;53;2,4;1;
2024/01/04;0000 UTC;0;957,9;957,9;957;;24,5;24,5;24,8;24,4;24,7;24,4;100;100;100;73;2,4;,9;
2024/01/04;0100 UTC;0;957,8;958,1;957,7;;23,7;23,7;24,5;23,7;24,4;23,7;100;100;100;127;2,4;,5;
2024/01/04;0200 UTC;0;958,2;958,2;957,8;;23,5;23,5;23,8;23,5;23,7;23,5;100;100;100;123;1,5;,5;
2024/01/04;0300 UTC;0;957,4;958,2;957,4;;23,4;23,4;23,6;23,4;23,6;23,4;100;100;100;131;1,7;,9;
2024/01/04;0400 UTC;0;957,4;957,4;957,3;;23,6;23,6;23,6;23,3;23,6;23,3;100;100;100;276;1,7;,4;
2024/01/04;0500 UTC;0;957;957,4;957;;23,7;23,7;23,7;23,5;23,7;23,5;100;100;100;189;1,5;,4;
2024/01/04;0600 UTC;,4;956,6;957;956,6;;23,5;23,5;23,7;23,5;23,7;23,4;100;100;100;210;1,1;,4;
2024/01/04;0700 UTC;0;956,5;956,6;956,4;;23,6;23,6;23,6;23,4;23,6;23,4;100;100;100;288;1,3;,7;
2024/01/04;0800 UTC;0;957;957;956,5;;23,4;23,4;23,6;23,4;23,6;23,4;100;100;100;260;3,2;,9;
